name,type,creator,score,date
"The Midnight Library","Book","Matt Haig",8.8,"2022-01"
"Persona 5 Strikers","Game","Atlus",7,"2022-01"
"How to Train Your Dragon: The Hidden World","Movie","Dreamworks",8.2,"2022-01"
"A Year in the Linear City","Book","Paul Di Filippo",8,"2022-01"
"The Legend of Zelda: Breath of the Wild - Creating a Champion","Book","Nintendo",8,"2022-01"
"The Way of Kings, Part 1","Book","Brandon Sanderson",8.8,"2022-01"
"Disco Elysium","Game","ZA/UM",9.8,"2022-01"
"Ficciones","Book","Jorge Luis Borges",8,"2022-02"
"Friday Black","Book","Nana Kwame Adjei-Brenyah",9.4,"2022-02"
"God of War (2018)","Game","Sony Santa Monica",8.8,"2022-02"
"Super Mario Galaxy","Game","Nintendo",9,"2022-02"
"Pale Fire","Book","Vladimir Nabokov",8.9,"2022-02"
"The Last Guardian","Game","Team Ico",8,"2022-03"
"The Left Hand of Darkness","Book","Ursula K. Le Guin",8.4,"2022-03"
"Finding Paradise","Game","Freebird Games",8.8,"2022-03"
"The Capital","Book","Robert Menasse",7.5,"2022-03"
"Ontjoodst door de Wetenschap","Book","Hans Jessurun d'Oliveira (ed.)",8.5,"2022-03"
"The Art of How to Train Your Dragon","Book","Tracey Miller-Zameke",7.8,"2022-04"
"Annihilation","Book","Jeff VanderMeer",7.5,"2022-04"
"Happy Stories, Mostly","Book","Norman E. Pasaribu",8,"2022-04"
"One Finger Death Punch","Game","Silver Dollar Games",9.5,"2022-04"
"Avatar, the Last Airbender: The Rise of Kyoshi","Book","F.C. Yee",9,"2022-04"
"Avatar, the Last Airbender: The Shadow of Kyoshi","Book","F.C. Yee",9,"2022-05"
"Ego","Cabaret","Alex Ploeg",8,"2022-05"
"Symphonie Fantastique","Music","Philips Symfonie Orkest",8.5,"2022-05"
"Terraria","Game","Re-Logic",9.5,"2022-05"
"Roshambo, of Waarom we Steen-Papier-Schaar Spelen","Theater","DraeCKI",9.9,"2022-05"
"Tactical Breach Wizards Beta","Game","Suspicious Developments",9,"2022-06"
"Bowser's Fury","Game","Nintendo",9,"2022-06"
"Cloud Atlas","Book","David Mitchell",8,"2022-06"
"Return of the Obra Dinn","Game","Lucas Pope",7.8,"2022-06"
"The Paper Menagerie and Other Stories","Book","Ken Liu",9,"2022-07"
"Elden Ring","Game","FromSoftware",9.9,"2022-07"